id,name,description
33,Elkhart Plastics,
19,"Raising Cane's",
7,Shipt,NULL
30,CompuCom,
9,Altec Industries, Inc.,NULL
12,Bubbas 33,NULL
13,Integrity Marketing,NULL
16,Sapp Bros., Inc.,NULL
17,Virginia Transportation,NULL
25,[PPC]Bridgestone Americas,NULL
32,Postmates,NULL
35,"Riccardo's Ristorante",NULL
36,Westchester Medical Center,NULL
37,State of Utah,NULL
38,Valvoline Instant Oi Change,NULL
65,VIOLA,
40,University Health Systems,NULL
42,CTG,
13220,Auburn University at Montgomery, Advanced Technologies,
1947,The Accuro Group,"Accuro connects talented financial, professional and technical contributors with the world's best companies.  

Whether you're interested in rewarding consulting engagements--or advancing your career with a leading organization--Accuro is here to help you navigate this journey.   

For more information, visit us online at [accurogroup.com](http://www.accurogroup.com)"
138,Horizon Search, Inc.,
62,GENESYS Consulting Services, Inc.,
50,Mitchell Martin,NULL
127,Enexus Global,
55,CP Professional Services,NULL
88,Sullivan and Cogliano,
64,Cognizant,
99,Expradit,
11,MultiCare,
24,"Phoenix Children's Hospital",
63,Real Soft, Inc./Spark Consulting, LLC,NULL
66,Nesco Resource, LLC,NULL
67,Computer Merchant, Ltd., The,NULL
20,Loves Travel Stops & Country Store,
69,Infotek Consulting Services Inc.,NULL
71,Stone Search,NULL
73,Sriven Systems Inc.,NULL
74,Sage Group,NULL
47,Decision Information Resources,
28,BAYADA Home Health Care,
80,Kinetix Trading Solution,NULL
15,Ledger Bennett,
89,Volitiion IIT Inc,NULL
95,NexInfo Solutions, Inc.,NULL
96,Oriontek Inc,NULL
100,QED National,NULL
107,Medix IT Staffing Solutions,NULL
112,SmartIT Frame,NULL
115,Brooksource,NULL
122,Infomerica, Inc,NULL
123,Group A LLC,NULL
126,Thoughtwave Software and Solutions,NULL
130,Main Sail, LLC,NULL
136,V-Soft Consulting Group, Inc,NULL
137,Innova Consulting Services, LLC DBA Celerus Consulting,NULL
139,Alluvion Staffing,NULL
144,Genuent,NULL
146,Prospect Infosys Inc.,NULL
147,Procter & Gamble,NULL
140,AIC,
97,Ledgent,
75,I-Link Solutions,
84,Genius Business Solutions,
2,apple,NULL
3,amazon,NULL
131,Prairie Consulting Services, Inc,
121,Uniqsoft,
78,The Tri-Com Consulting Group,
72,MatchPoint Consulting Group,
81,Maxonic, Inc.,
124,TSR Consulting Services, Inc.,
98,Codeworks L.L.C,
54,TekPartners Solutions, LLC,
22,LRS,
90,Compunnel Inc.,
101,Pyramid Consulting, Inc.,
133,Beacon Hill Technologies,
45,RMS Computer Corporation,"RMS Computer Corporation (a certified MWBE) is committed to providing our clients with the highest quality technical resources available in the market today. We focus on identifying candidates with exceptional technological expertise and educational background to provide our clients with both individual staffing and complete project solutions. With more than 20 years experience coupled with our commitment to best practices, RMS continues to focus on delivering the best affordable resources in the fastest response time for our clients' growing technological needs."
110,CompuGain Corporation,
113,Patriot Talent Solutions,
111,Stabilis Professional Services,
86,ParSoft LLC,
148,Technology Services LLC,
118,Central Point Partners,
149,GDH,
93,iTech Solutions,
104,teamitserve inc,
105,Introlligent Inc.,
106,Triumph Services,
83,Smart Solutions, Inc.,
129,Quantum Vision LLC,
132,Tentek, Inc.,
108,Pomeroy IT Solutions Sales Company,
134,The Forum Group,
92,Dew Softech Inc,
125,Advantage Technical Resourcing,
116,Axelon Services Corporation,
109,Key Business Solutions, Inc.,
117,iCore Technologies, LLC,
119,eBusiness Solutions, Inc.,
91,Galen Technology Solutions, Inc.,
94,MatchPoint Solutions,
77,VGB Technologies PVT LTD,
114,Syfter,
23,Fidelity TalentSource,
46,Pro Staff,
158,NJTECH INC.,NULL
163,Excers, Inc.,NULL
230,Ab Ovo Inc.,
243,Aristasys,
215,Amerit Consulting,
173,Softworld Inc,NULL
174,Tech Providers Inc.,NULL
179,Waynsys Inc.,NULL
182,Gateway Solutions Inc,NULL
186,Synechron Inc.,NULL
190,Refulgent Technologies Inc.,NULL
191,Blue Chip Talent,NULL
264,CoStar Realty Information, Inc.,
195,Johnson & Johnson,NULL
198,Randstad Professionals,NULL
290,Elegant Enterprise- Wide Solutions Inc,
254,The ExecuSearch Group,
203,Masco HD Support Services, LLC,NULL
205,"ISSI / TKO's",NULL
207,Masco Retail Sales Support, Inc.,NULL
296,CSM Software,
209,"MIDDLESEX SHERIFF'S OFFICE",NULL
210,RTR Group Inc.,NULL
211,Dedicated Tech Services, Inc. (DTS),NULL
213,XiarTech, Inc,NULL
214,DIVERSANT, LLC.,NULL
288,Smart Synergies Inc,
218,Centraprise Corp,NULL
219,Saama Technologies, Inc.,NULL
220,Systems Staffing Group, Inc.,NULL
249,INFICON,
233,DG ALLEN CONSULTING,NULL
234,Sunrise Systems Inc,NULL
235,Matrix Precise, Inc.,NULL
154,Xyant Services, Inc.,
13244,Igneous Systems,
13245,Crowd Cow,
239,ICAP Solutions,NULL
246,IBM Corporation,NULL
247,Ciber Inc.,NULL
13246,MercuryGate International,
250,Technology Consulting, Inc.,NULL
291,Marvel Technologies Inc,
223,Tredence,
165,United IT Solutions,
183,Vhire,
251,Health Research, Inc.,
263,ADP,NULL
292,Softpath System.,
266,Penn Medicine (University of Pennsylvania Health System),NULL
273,Longi Engineering,NULL
277,Rang Technologies Inc,NULL
285,New Fields Technologies LLC,NULL
286,Beacon Hill Staffing Group, LLC,NULL
269,Tech Brains,
294,Connvertex Technologies Inc,NULL
168,Vaco Technology,
193,Essani International LLC,
181,Reveille Technologies,
164,Capgemini America, Inc.,
231,Spectra Group Inc.,
226,VED Software Services, Inc.,
194,Serviont Global Solutions Inc,
157,Prosum,
159,MARS IT,
225,SSI,
196,InfoPeople Corp,
184,ApTask,
206,Arizona State University,
